epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2543223798274994,4.406186580657959,1e-04,0.1661931872367859,5.310074329376221
1,0.30361509323120117,3.6377522945404053,1e-04,0.35866478085517883,3.3158631324768066
2,0.3330422639846802,3.185006856918335,1e-04,0.37997159361839294,2.9085304737091064
3,0.3595878481864929,2.8047728538513184,1e-04,0.4232954680919647,2.5384161472320557
4,0.38517290353775024,2.4916460514068604,1e-04,0.4573863744735718,2.226260185241699
5,0.40765804052352905,2.243663787841797,1e-04,0.46946021914482117,2.0018160343170166
6,0.4365176260471344,2.0330004692077637,1e-04,0.49289771914482117,1.840229868888855
7,0.45031434297561646,1.873713493347168,1e-04,0.5085227489471436,1.6729443073272705
8,0.4667743742465973,1.7461155652999878,1e-04,0.5234375,1.5699306726455688
9,0.48899754881858826,1.6355057954788208,1e-04,0.5255681872367859,1.5305174589157104
10,0.5030999183654785,1.5471177101135254,1e-04,0.5170454382896423,1.500048041343689
11,0.5134474039077759,1.4778519868850708,1e-04,0.5497159361839294,1.3503254652023315
12,0.5286412835121155,1.4209184646606445,1e-04,0.5788352489471436,1.2981514930725098
13,0.5400803089141846,1.3697489500045776,1e-04,0.5731534361839294,1.275298833847046
14,0.5529601573944092,1.3300940990447998,1e-04,0.5625,1.2794458866119385
15,0.5565403699874878,1.3040672540664673,1e-04,0.59375,1.2159637212753296
16,0.5638753175735474,1.2687127590179443,1e-04,0.59375,1.173862099647522
17,0.5713412761688232,1.2406467199325562,1e-04,0.5703125,1.2175103425979614
18,0.5836971998214722,1.2153351306915283,1e-04,0.6107954382896423,1.1430386304855347
19,0.5862295031547546,1.19611394405365,1e-04,0.6051136255264282,1.1558085680007935
20,0.5953108668327332,1.1744349002838135,1e-04,0.6122159361839294,1.1361160278320312
21,0.5948305726051331,1.1633071899414062,1e-04,0.5973011255264282,1.131659984588623
22,0.6068809032440186,1.136472225189209,1e-04,0.6129261255264282,1.1485873460769653
23,0.6092821955680847,1.1292823553085327,1e-04,0.6306818127632141,1.087003231048584
24,0.6149179339408875,1.108289361000061,1e-04,0.6399147510528564,1.0636612176895142
25,0.6215507984161377,1.0927832126617432,1e-04,0.6001420617103577,1.1249473094940186
26,0.6291913986206055,1.0803529024124146,1e-04,0.6370738744735718,1.0841848850250244
27,0.6324659585952759,1.0727983713150024,1e-04,0.6292613744735718,1.0983197689056396
28,0.6370066404342651,1.0529325008392334,1e-04,0.6171875,1.1035844087600708
29,0.6420276165008545,1.0413053035736084,1e-04,0.65625,1.03970205783844
30,0.6458697319030762,1.0347468852996826,1e-04,0.6470170617103577,1.041999101638794
31,0.6472668647766113,1.024401068687439,1e-04,0.6434659361839294,1.0495057106018066
32,0.6579200029373169,1.007137417793274,1e-04,0.65625,1.040542483329773
33,0.6654295921325684,0.9882177114486694,1e-04,0.640625,1.06618070602417
34,0.6604523062705994,0.9933854341506958,1e-04,0.6526988744735718,1.0345923900604248
35,0.669009804725647,0.984967827796936,1e-04,0.6384943127632141,1.0749560594558716
36,0.6661718487739563,0.9671962261199951,1e-04,0.6576704382896423,1.0189239978790283
37,0.6742926836013794,0.9565863609313965,1e-04,0.6612215638160706,1.0259289741516113
38,0.6792263388633728,0.9493157267570496,1e-04,0.6441761255264282,1.0323172807693481
39,0.6828064918518066,0.9360741972923279,1e-04,0.6541193127632141,1.0379829406738281
40,0.6825882196426392,0.9318651556968689,1e-04,0.65625,1.0291717052459717
41,0.6903160810470581,0.9144176840782166,1e-04,0.6768465638160706,1.0102814435958862
42,0.6955990195274353,0.9048734903335571,1e-04,0.6534090638160706,1.0488752126693726
43,0.6985679268836975,0.8985266089439392,1e-04,0.6534090638160706,1.06088387966156
44,0.7004016637802124,0.88994300365448,1e-04,0.6619318127632141,1.0250473022460938
45,0.7019734382629395,0.8839476108551025,1e-04,0.6526988744735718,1.0565441846847534
46,0.7085225582122803,0.8708637356758118,1e-04,0.6491477489471436,1.0791716575622559
47,0.7100943326950073,0.8683236241340637,1e-04,0.6690340638160706,1.003640055656433
48,0.7145476937294006,0.8592118620872498,1e-04,0.6583806872367859,1.0582184791564941
49,0.7196123003959656,0.8452640175819397,1e-04,0.6491477489471436,1.1067376136779785
50,0.7240656614303589,0.8380714654922485,1e-04,0.6583806872367859,1.0543967485427856
51,0.7293922305107117,0.8260562419891357,1e-04,0.6690340638160706,1.049964189529419
52,0.7273402214050293,0.8259323239326477,1e-04,0.6491477489471436,1.0813932418823242
53,0.7300034761428833,0.8175203800201416,1e-04,0.6541193127632141,1.0831223726272583
54,0.7498253583908081,0.7629287838935852,2e-05,0.6654829382896423,1.0269421339035034
55,0.7601292133331299,0.745032787322998,2e-05,0.6768465638160706,0.9960277080535889
56,0.7583827972412109,0.7401233315467834,2e-05,0.6740056872367859,1.0015939474105835
57,0.7651938796043396,0.7263795733451843,2e-05,0.6725852489471436,1.0144034624099731
58,0.7661107182502747,0.7220958471298218,2e-05,0.6747159361839294,1.0165222883224487
59,0.7669839262962341,0.7143441438674927,2e-05,0.6789772510528564,1.0069756507873535
